incident_id,root_cause,cpu_usage_pct,memory_usage_pct,db_latency_sec,api_latency_sec,error_rate_pct,disk_usage_pct,network_latency_ms,queue_depth,connection_pool_usage_pct,users_affected_pct,blast_radius_services,service_criticality,alert_count,severity,impact_score,recommended_action,remediation_risk
1,Cache Failure,59.82714934301164,29.171739493308188,0.9796910002727692,3.8493564427131046,14.545624180177516,24.998745790900145,42.1474224376107,109,27.143340896097037,10.11243862128394,1,78.79639408647978,3,MEDIUM,34.00564219809388,Restart Cache Service / Rebuild Cache,LOW
2,Database Saturation,85.65030577807997,85.18862129753596,2.5115723710618747,0.5785978822574545,3.0980791841396598,26.97469303260209,30.45012539746527,280,71.82144460358782,11.99246345950219,1,55.29847965068651,4,LOW,22.971398542592112,Scale Database Resources,LOW
3,DNS Resolution Failure,60.419867405823055,35.23068845866854,0.2976721140063839,1.089502934465804,41.86841117373119,26.10191174223894,404.0136042355622,44,65.4660201039391,4.622919742400237,2,70.2144564127061,3,MEDIUM,47.87469561276219,Fail Over DNS / Restore DNS Service,LOW
4,Container Crash Loop,58.75664116805573,66.97494707820945,1.094827350427649,6.035171238433423,68.61021229056553,24.424625102595975,23.718800369340165,199,36.266516538163216,6.441482055652748,2,61.58768529556319,3,MEDIUM,50.32936594058662,Restart/Reschedule Container,LOW
5,Service Dependency Failure,27.046211248738132,60.109849037701984,0.27455064367977083,8.631504392566745,39.532310765058334,29.93578407670862,10.386548198652168,148,29.942120204440258,10.9587873384811,1,70.85081386743784,2,MEDIUM,44.76649505093296,Fail Over to Healthy Dependency,LOW
6,Cache Failure,62.50192888948997,42.47253370691017,0.2954101164904113,6.04314019446759,24.031929939237408,53.296117830874834,51.3908451395409,223,64.36063712881634,7.61100895226729,1,78.86848381556415,4,MEDIUM,38.01638860918993,Restart Cache Service / Rebuild Cache,LOW
7,DNS Resolution Failure,44.689779818219534,46.1366414690997,0.6275410183585497,0.23304486476732375,28.122448989390776,21.57145928433671,407.96821826033465,61,48.163778598819185,10.737225209965786,1,49.971689165955,2,MEDIUM,33.775314349173875,Fail Over DNS / Restore DNS Service,LOW
8,Service Dependency Failure,23.84899549143965,34.4875726456884,0.36122128725400443,4.610439773503367,30.688935142309248,51.67018782552117,71.00224131314025,37,30.92202186084168,6.831139270185127,2,61.57368967662603,3,MEDIUM,40.78723177136667,Fail Over to Healthy Dependency,LOW
9,Database Saturation,88.06269907402299,83.95255005043353,3.2115085131741226,0.6583395132344197,1.5934281649743425,28.232792657147087,47.38625935628094,174,71.81698291905148,4.771772673179301,2,77.71638815650077,5,LOW,29.657342923566155,Scale Database Resources,LOW
10,Payment API Failure,32.34380314193006,54.815213641989416,0.9122705899244421,4.7244743604561155,42.13084660971471,33.33905071376425,78.3630469082857,229,22.573937562499466,49.497765893871026,1,65.37405378805455,3,HIGH,56.2582665200323,Restart Payment API,MEDIUM
11,Memory Exhaustion,69.77876715605655,98.5835880481372,0.4421599382774259,2.6607231426966447,2.4044731087855884,69.17115704474215,37.917710971118716,249,59.917256249227556,3.1100456155160128,1,47.46074041599417,2,LOW,18.00043534304614,Restart Affected Service,LOW
12,CPU Exhaustion,92.57941627715155,37.43329936458647,0.29617655109142077,4.809944161119627,30.430555005030396,45.887567526374006,68.63970741351295,276,37.05331755251292,2.588629297368247,1,61.65791895310264,3,MEDIUM,35.40634603000133,Scale Service Resources,LOW
13,Payment API Failure,46.48252891780032,32.092614545022585,0.2931027678058992,7.210158230771439,27.944898774826708,51.65507286366339,33.73208537340905,108,55.01789149863856,20.65700499331148,2,75.48345697060469,2,MEDIUM,47.04041512805797,Restart Payment API,LOW
14,Network Degradation,53.449412735711434,49.034331071822734,0.5722827665617432,3.8941135461066443,14.161719614571497,34.19604873687329,373.47342879585864,203,54.59475988463466,10.127457633036407,1,47.03701010709381,2,LOW,25.878349623970124,Redirect Traffic to Healthy Route,LOW
15,Message Queue Backlog,62.4611705247089,52.88064461501717,0.7683086033354716,4.010548372420768,16.53807769252718,33.26011838408627,27.07927503653585,4348,68.94464291375044,7.814390141432371,2,65.24554503989052,3,MEDIUM,34.92474214866593,Scale Queue Consumers,LOW
16,Database Saturation,90.9945780764424,94.16637047609174,4.890859931267759,0.23161075636089,3.2628142499451225,28.855533970352447,75.832100904704,55,93.88426475308609,6.182221803576222,1,78.12287388095812,6,LOW,27.01679213628496,Scale Database Resources,LOW
17,Database Saturation,89.5157106993404,91.21674487311685,2.4098639943260864,1.4170012064090152,3.510546003707368,48.50305850446825,16.8023545639538,297,89.84950791348332,6.021054938146294,1,60.73318609454947,6,LOW,22.744886006934937,Scale Database Resources,LOW
18,Checkout Service Failure,60.46805777392568,60.50566973395904,1.0670723185801037,3.375927759363476,38.14540334239804,45.07581473435998,65.88066252767426,273,55.098343862885166,29.45700352490435,2,75.4646859580264,4,MEDIUM,54.77597421817692,Restart Checkout Service,LOW
19,Certificate Expiration,43.27990090662301,47.13223173537883,0.4865412521282844,6.210115375059907,58.29060646454914,21.867409437460722,67.58203924617608,63,46.854121359832774,5.573117385144572,2,70.79974212394444,2,MEDIUM,52.37187074652948,Renew/Rotate Certificate,LOW
20,Payment API Failure,40.56769525283393,54.97561053835969,0.33835309241780137,8.813242073389626,54.25930421792721,55.7297552089976,12.874726173751306,129,33.54161256310371,39.359097213279426,1,50.03442109386645,3,MEDIUM,53.316334437450436,Restart Payment API,LOW
21,Database Saturation,85.66802578768308,84.1509302623519,2.475939342927473,0.9139946641179566,3.601520021230306,53.009868835886564,29.595372786216,281,73.36461013855798,10.199558599002335,1,64.46882984937409,4,LOW,24.977835052659376,Scale Database Resources,LOW
22,DNS Resolution Failure,24.589953290672092,24.707849413428008,0.5114133093912943,1.4733636872079612,55.467215491921905,20.858055091587513,489.8291463182772,48,37.31521605447004,7.5054333811545595,1,55.94018937589494,3,MEDIUM,45.2366773583201,Fail Over DNS / Restore DNS Service,LOW
23,Payment API Failure,38.73063073132356,51.292995785711824,0.7031362585800878,6.866835208359666,29.497512363186857,28.146721354071484,14.93981231803009,256,67.21257985625837,43.392146185760105,2,77.6092096569983,3,HIGH,55.168702451571036,Restart Payment API,MEDIUM
24,External Payment Gateway Degradation,67.07324043882626,39.30513189003871,1.1611905638239142,8.224376554847272,20.698158072074776,23.468065043758273,17.054460096419866,262,24.72214803779642,10.562094827828997,1,66.22890541522969,2,MEDIUM,34.07493383819351,Route Traffic to Backup Gateway,LOW
25,Database Connection Pool Exhaustion,53.75057572256367,44.80187271467031,2.319224323556164,0.6528375857891566,4.689575944092965,21.95931633378231,39.256222220090514,258,97.3164775529964,6.928593192313659,2,72.27338957069057,5,MEDIUM,30.491713322413222,Increase Connection Pool / Restart DB Connection Pool,LOW
26,Disk Exhaustion,31.92984298951701,53.99223899501229,0.9399087604473746,0.5097069981251733,7.2821669196533385,99.05381976419264,44.75928334781544,226,36.00248005153058,13.537325198946807,1,42.13941186989476,2,LOW,22.237133986984404,Clean Storage / Expand Disk,LOW
27,Cache Failure,67.84004425632281,53.83849522121516,0.6825209496426425,3.230235040066577,23.73822205809339,24.585207362924052,52.170864813078325,62,59.578952186292426,12.054653999123754,1,77.2371642274917,3,MEDIUM,38.794798285656746,Restart Cache Service / Rebuild Cache,LOW
28,Disk Exhaustion,56.851777839550444,47.295788508249444,0.9058314838786945,1.4592475271663754,7.033719516047494,97.06242227156497,70.6808093717589,239,24.20534030574987,10.81356784042768,2,55.866064078170076,4,LOW,28.72744612969457,Clean Storage / Expand Disk,LOW
29,Disk Exhaustion,31.66140362122639,49.065270861339116,1.063138521989004,1.3444679592299418,13.256313225477463,92.48724154430288,51.432211717489906,79,55.40905977915999,7.743337831497614,2,62.3361699894322,4,MEDIUM,32.53520045954606,Clean Storage / Expand Disk,LOW
30,CPU Exhaustion,94.36335831606556,40.26010433907086,0.7714730252050106,5.307382371593569,34.447516718856775,61.139517593834654,62.09481598603085,199,40.01114464360124,7.688008472323188,1,74.7439651275784,3,MEDIUM,42.21615218301994,Scale Service Resources,LOW
31,Service Dependency Failure,22.157995597528807,64.55715568490356,0.7277011090862999,6.921571559615501,47.034740314729675,47.69271422006604,77.85117749333693,56,51.46993190676312,10.74048164578464,1,79.83325500117482,3,MEDIUM,50.697828401393934,Fail Over to Healthy Dependency,LOW
32,External Payment Gateway Degradation,34.04815947961151,67.52057420382793,1.0902637838909164,5.299749314271313,33.59722540486493,33.86905914905663,23.168481180663292,99,39.41341919949361,4.211526439869296,2,43.10938547859939,2,MEDIUM,36.8394170040431,Route Traffic to Backup Gateway,LOW
